Block	MerSort	QuickSort	Swaps
836	0.012861	0.010014	350128545
837	0.012833	0.009911	350948564
838	0.012829	0.010050	351823494
839	0.012846	0.009930	352641216
840	0.012863	0.010033	353534358
841	0.012890	0.010035	354412192
842	0.012914	0.010060	355298845
843	0.012925	0.010225	356190074
844	0.012799	0.009991	357061931
845	0.012714	0.009779	357945555
846	0.012761	0.010073	358843293
847	0.012758	0.009668	359685295
848	0.012802	0.009801	360632694
849	0.012818	0.009994	361610511
850	0.012838	0.009818	362463929
851	0.012815	0.009931	363341508
852	0.013008	0.009881	364188136
853	0.012919	0.009811	365030087
854	0.012881	0.009806	365900825
855	0.012912	0.010077	366732351
856	0.012918	0.009966	367628732
857	0.012929	0.010224	368590656
858	0.013002	0.010001	369427024
859	0.012961	0.010013	370338493
860	0.013032	0.009960	371195451
861	0.013019	0.010000	372118315
862	0.013047	0.010006	372964706
863	0.013028	0.010021	373894973
864	0.013059	0.010213	374847952
865	0.013087	0.010350	375775745
866	0.013345	0.010745	376648540
867	0.013130	0.010183	377544398
868	0.013124	0.010284	378428628
869	0.013392	0.010470	379393417
870	0.013421	0.010625	380396113
871	0.013432	0.010522	381396248
